,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,128,-62,-62
1,128,-62,-64
2,128,-60,-60
3,126,-60,-66
4,126,-62,-60
5,128,-62,-64
6,130,-62,-60
7,128,-60,-60
8,130,-64,-60
9,128,-64,-60
10,128,-64,-62
11,126,-62,-60
12,126,-60,-64
13,128,-60,-62
14,130,-64,-62
15,126,-60,-62
16,126,-64,-62
17,128,-66,-64
18,126,-58,-64
19,128,-62,-64
20,128,-62,-60
21,130,-58,-60
22,128,-62,-62
23,126,-64,-62
24,128,-62,-64
25,128,-62,-60
26,126,-60,-60
27,130,-64,-64
28,128,-64,-60
29,128,-60,-62
30,128,-62,-64
31,128,-60,-62
32,128,-62,-66
33,128,-64,-62
34,126,-66,-60
35,128,-60,-62
36,126,-62,-62
37,130,-60,-60
38,130,-60,-60
39,128,-60,-62
40,126,-66,-62
41,126,-60,-60
42,130,-62,-62
43,132,-62,-64
44,128,-64,-60
45,130,-62,-60
46,128,-60,-64
47,128,-60,-64
48,128,-60,-62
49,132,-62,-62
